48	0000,0000,0000,0003,0000,0000,0000,0015,0000,0000,0000,004e,0000,0000,0000,0025,0000,0000,0000,0000,0000,0000,0000,0071,0000,0000,0000,0000
49	0000,0000,0000,0007,0000,0000,0000,000c,0000,0000,0000,0042,0000,0000,0000,0028,0000,0000,0000,0059,0000,0000,0000,0064,0000,0000,0000,0092
50	0000,0000,0000,0002,0000,0000,0000,0016,0000,0000,0000,0042,0000,0000,0000,003c,0000,0000,0000,0000,0000,0000,0000,0075,0000,0000,0000,00a1
51	0000,0000,0000,0006,0000,0000,0000,000e,0000,0000,0000,0046,0000,0000,0000,0025,0000,0000,0000,0000,0000,0000,0000,006e,0000,0000,0000,0094
52	0000,0000,0000,0002,0000,0000,0000,0009,0000,0000,0000,004f,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0084,0000,0000,0000,0098
53	0000,0000,0000,0008,0000,0000,0000,000b,0000,0000,0000,0051,0000,0000,0000,0030,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0091
54	0000,0000,0000,0007,0000,0000,0000,0014,0000,0000,0000,004f,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,006c,0000,0000,0000,0000
55	0000,0000,0000,0005,0000,0000,0000,000c,0000,0000,0000,0050,0000,0000,0000,0033,0000,0000,0000,0057,0000,0000,0000,006e,0000,0000,0000,008d
56	0000,0000,0000,0008,0000,0000,0000,000b,0000,0000,0000,0045,0000,0000,0000,002f,0000,0000,0000,0000,0000,0000,0000,0067,0000,0000,0000,008e
57	0000,0000,0000,0002,0000,0000,0000,000e,0000,0000,0000,004d,0000,0000,0000,0035,0000,0000,0000,0059,0000,0000,0000,005d,0000,0000,0000,00a1
58	0000,0000,0000,0008,0000,0000,0000,001b,0000,0000,0000,003e,0000,0000,0000,002e,0000,0000,0000,0000,0000,0000,0000,006f,0000,0000,0000,008e
59	0000,0000,0000,0004,0000,0000,0000,0015,0000,0000,0000,0051,0000,0000,0000,0039,0000,0000,0000,0000,0000,0000,0000,006f,0000,0000,0000,0000
60	0000,0000,0000,0001,0000,0000,0000,0014,0000,0000,0000,004e,0000,0000,0000,0027,0000,0000,0000,0000,0000,0000,0000,005c,0000,0000,0000,0000
61	0000,0000,0000,0001,0000,0000,0000,000d,0000,0000,0000,0047,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,0064,0000,0000,0000,0000
62	0000,0000,0000,0001,0000,0000,0000,000d,0000,0000,0000,0048,0000,0000,0000,003a,0000,0000,0000,0000,0000,0000,0000,007d,0000,0000,0000,0000
63	0000,0000,0000,0003,0000,0000,0000,001b,0000,0000,0000,0050,0000,0000,0000,0030,0000,0000,0000,0000,0000,0000,0000,0075,0000,0000,0000,008d
64	0000,0000,0000,0007,0000,0000,0000,000b,0000,0000,0000,003d,0000,0000,0000,001c,0000,0000,0000,0056,0000,0000,0000,006f,0000,0000,0000,0085
65	0000,0000,0000,0005,0000,0000,0000,000a,0000,0000,0000,0042,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,007c,0000,0000,0000,0000
66	0000,0000,0000,0002,0000,0000,0000,0014,0000,0000,0000,0042,0000,0000,0000,001f,0000,0000,0000,0054,0000,0000,0000,0062,0000,0000,0000,0088
67	0000,0000,0000,0006,0000,0000,0000,0009,0000,0000,0000,004f,0000,0000,0000,0030,0000,0000,0000,0000,0000,0000,0000,005d,0000,0000,0000,0000
68	0000,0000,0000,0006,0000,0000,0000,000a,0000,0000,0000,0040,0000,0000,0000,0028,0000,0000,0000,0000,0000,0000,0000,0061,0000,0000,0000,00a8
69	0000,0000,0000,0006,0000,0000,0000,000e,0000,0000,0000,004d,0000,0000,0000,0037,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,00a1
70	0000,0000,0000,0007,0000,0000,0000,000b,0000,0000,0000,0050,0000,0000,0000,0037,0000,0000,0000,0000,0000,0000,0000,0063,0000,0000,0000,0000
71	0000,0000,0000,0006,0000,0000,0000,000c,0000,0000,0000,0040,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,007c,0000,0000,0000,008c
72	0000,0000,0000,0008,0000,0000,0000,000a,0000,0000,0000,0040,0000,0000,0000,001c,0000,0000,0000,0057,0000,0000,0000,0071,0000,0000,0000,0096
73	0000,0000,0000,0002,0000,0000,0000,0017,0000,0000,0000,004d,0000,0000,0000,003a,0000,0000,0000,0057,0000,0000,0000,0084,0000,0000,0000,0087
74	0000,0000,0000,0007,0000,0000,0000,000f,0000,0000,0000,003e,0000,0000,0000,0038,0000,0000,0000,0000,0000,0000,0000,0067,0000,0000,0000,008c
75	0000,0000,0000,0006,0000,0000,0000,0011,0000,0000,0000,0043,0000,0000,0000,002e,0000,0000,0000,0000,0000,0000,0000,005d,0000,0000,0000,009e
76	0000,0000,0000,0005,0000,0000,0000,000b,0000,0000,0000,0042,0000,0000,0000,0030,0000,0000,0000,0000,0000,0000,0000,007f,0000,0000,0000,0091
77	0000,0000,0000,0008,0000,0000,0000,0015,0000,0000,0000,0044,0000,0000,0000,002f,0000,0000,0000,0000,0000,0000,0000,0083,0000,0000,0000,008b
78	0000,0000,0000,0008,0000,0000,0000,0009,0000,0000,0000,003d,0000,0000,0000,0030,0000,0000,0000,0000,0000,0000,0000,006b,0000,0000,0000,0091
79	0000,0000,0000,0002,0000,0000,0000,000e,0000,0000,0000,0042,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,006b,0000,0000,0000,0000
80	0000,0000,0000,0006,0000,0000,0000,000b,0000,0000,0000,004d,0000,0000,0000,0025,0000,0000,0000,0055,0000,0000,0000,007d,0000,0000,0000,0096
81	0000,0000,0000,0003,0000,0000,0000,0015,0000,0000,0000,003f,0000,0000,0000,002e,0000,0000,0000,0000,0000,0000,0000,0066,0000,0000,0000,0000
82	0000,0000,0000,0002,0000,0000,0000,000d,0000,0000,0000,004d,0000,0000,0000,0034,0000,0000,0000,0058,0000,0000,0000,0076,0000,0000,0000,0000
83	0000,0000,0000,0003,0000,0000,0000,000d,0000,0000,0000,0044,0000,0000,0000,0025,0000,0000,0000,0000,0000,0000,0000,0081,0000,0000,0000,00a8
84	0000,0000,0000,0005,0000,0000,0000,000b,0000,0000,0000,0044,0000,0000,0000,0025,0000,0000,0000,0000,0000,0000,0000,0068,0000,0000,0000,00a8
85	0000,0000,0000,0003,0000,0000,0000,0018,0000,0000,0000,0040,0000,0000,0000,0030,0000,0000,0000,0000,0000,0000,0000,005a,0000,0000,0000,008c
86	0000,0000,0000,0005,0000,0000,0000,001b,0000,0000,0000,0042,0000,0000,0000,001c,0000,0000,0000,0056,0000,0000,0000,0080,0000,0000,0000,0000
87	0000,0000,0000,0001,0000,0000,0000,000c,0000,0000,0000,0050,0000,0000,0000,0025,0000,0000,0000,0000,0000,0000,0000,0067,0000,0000,0000,008d
88	0000,0000,0000,0003,0000,0000,0000,0009,0000,0000,0000,0051,0000,0000,0000,0025,0000,0000,0000,0056,0000,0000,0000,0070,0000,0000,0000,0096
89	0000,0000,0000,0004,0000,0000,0000,0009,0000,0000,0000,003d,0000,0000,0000,0020,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,008e
90	0000,0000,0000,0002,0000,0000,0000,0011,0000,0000,0000,004a,0000,0000,0000,0030,0000,0000,0000,0058,0000,0000,0000,0081,0000,0000,0000,009d
91	0000,0000,0000,0002,0000,0000,0000,000b,0000,0000,0000,004f,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,005f,0000,0000,0000,008b
92	0000,0000,0000,0003,0000,0000,0000,0014,0000,0000,0000,0048,0000,0000,0000,0034,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,008b
93	0000,0000,0000,0007,0000,0000,0000,001a,0000,0000,0000,0042,0000,0000,0000,0028,0000,0000,0000,0000,0000,0000,0000,0069,0000,0000,0000,0091
94	0000,0000,0000,0001,0000,0000,0000,001b,0000,0000,0000,0043,0000,0000,0000,002a,0000,0000,0000,0000,0000,0000,0000,005f,0000,0000,0000,008b
95	0000,0000,0000,0008,0000,0000,0000,0018,0000,0000,0000,004e,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,006e,0000,0000,0000,009e
96	0000,0000,0000,0008,0000,0000,0000,0016,0000,0000,0000,004f,0000,0000,0000,0028,0000,0000,0000,0000,0000,0000,0000,007c,0000,0000,0000,0094
97	0000,0000,0000,0003,0000,0000,0000,000e,0000,0000,0000,0048,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,008e
98	0000,0000,0000,0004,0000,0000,0000,000f,0000,0000,0000,0042,0000,0000,0000,003a,0000,0000,0000,0000,0000,0000,0000,007c,0000,0000,0000,00a3
99	0000,0000,0000,0002,0000,0000,0000,000e,0000,0000,0000,0043,0000,0000,0000,0030,0000,0000,0000,0058,0000,0000,0000,005f,0000,0000,0000,00a5
100	0000,0000,0000,0008,0000,0000,0000,000e,0000,0000,0000,0051,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,009b
101	0000,0000,0000,0002,0000,0000,0000,0012,0000,0000,0000,0047,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,006f,0000,0000,0000,0092
102	0000,0000,0000,0001,0000,0000,0000,0012,0000,0000,0000,0042,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,005e,0000,0000,0000,0097
103	0000,0000,0000,0007,0000,0000,0000,0009,0000,0000,0000,004f,0000,0000,0000,0035,0000,0000,0000,0000,0000,0000,0000,006c,0000,0000,0000,00a2
